#  E (eV)   dos(E)     Int dos(E) EFermi =    8.833 eV
  -3.750  0.2015E-02  0.8118E-04
  -3.740  0.2589E-02  0.1071E-03
  -3.730  0.3297E-02  0.1400E-03
  -3.720  0.4161E-02  0.1816E-03
  -3.710  0.5205E-02  0.2337E-03
  -3.700  0.6454E-02  0.2982E-03
  -3.690  0.7936E-02  0.3776E-03
  -3.680  0.9674E-02  0.4743E-03
  -3.670  0.1170E-01  0.5913E-03
  -3.660  0.1402E-01  0.7315E-03
  -3.650  0.1668E-01  0.8983E-03
  -3.640  0.1968E-01  0.1095E-02
  -3.630  0.2304E-01  0.1325E-02
  -3.620  0.2676E-01  0.1593E-02
  -3.610  0.3086E-01  0.1902E-02
  -3.600  0.3533E-01  0.2255E-02
  -3.590  0.4016E-01  0.2657E-02
  -3.580  0.4533E-01  0.3110E-02
  -3.570  0.5083E-01  0.3618E-02
  -3.560  0.5663E-01  0.4185E-02
  -3.550  0.6270E-01  0.4812E-02
  -3.540  0.6901E-01  0.5502E-02
  -3.530  0.7551E-01  0.6257E-02
  -3.520  0.8216E-01  0.7078E-02
  -3.510  0.8893E-01  0.7968E-02
  -3.500  0.9577E-01  0.8925E-02
  -3.490  0.1027E+00  0.9952E-02
  -3.480  0.1095E+00  0.1105E-01
  -3.470  0.1164E+00  0.1221E-01
  -3.460  0.1231E+00  0.1344E-01
  -3.450  0.1298E+00  0.1474E-01
  -3.440  0.1364E+00  0.1610E-01
  -3.430  0.1428E+00  0.1753E-01
  -3.420  0.1491E+00  0.1902E-01
  -3.410  0.1552E+00  0.2057E-01
  -3.400  0.1611E+00  0.2219E-01
  -3.390  0.1669E+00  0.2385E-01
  -3.380  0.1726E+00  0.2558E-01
  -3.370  0.1780E+00  0.2736E-01
  -3.360  0.1834E+00  0.2919E-01
  -3.350  0.1886E+00  0.3108E-01
  -3.340  0.1937E+00  0.3302E-01
  -3.330  0.1986E+00  0.3500E-01
  -3.320  0.2034E+00  0.3704E-01
  -3.310  0.2082E+00  0.3912E-01
  -3.300  0.2128E+00  0.4125E-01
  -3.290  0.2173E+00  0.4342E-01
  -3.280  0.2217E+00  0.4564E-01
  -3.270  0.2260E+00  0.4790E-01
  -3.260  0.2302E+00  0.5020E-01
  -3.250  0.2343E+00  0.5254E-01
  -3.240  0.2383E+00  0.5493E-01
  -3.230  0.2423E+00  0.5735E-01
  -3.220  0.2461E+00  0.5981E-01
  -3.210  0.2499E+00  0.6231E-01
  -3.200  0.2536E+00  0.6484E-01
  -3.190  0.2573E+00  0.6742E-01
  -3.180  0.2609E+00  0.7003E-01
  -3.170  0.2646E+00  0.7267E-01
  -3.160  0.2683E+00  0.7536E-01
  -3.150  0.2720E+00  0.7808E-01
  -3.140  0.2758E+00  0.8083E-01
  -3.130  0.2795E+00  0.8363E-01
  -3.120  0.2833E+00  0.8646E-01
  -3.110  0.2871E+00  0.8933E-01
  -3.100  0.2908E+00  0.9224E-01
  -3.090  0.2945E+00  0.9519E-01
  -3.080  0.2980E+00  0.9817E-01
  -3.070  0.3015E+00  0.1012E+00
  -3.060  0.3049E+00  0.1042E+00
  -3.050  0.3081E+00  0.1073E+00
  -3.040  0.3111E+00  0.1104E+00
  -3.030  0.3141E+00  0.1136E+00
